"IVS1_Code","IVS1_Label","ivs_iti4","IVS2_Label","Location","N2SpTFA","NZMGE","NZMGN","NZTM.E","NZTM.N","Island","Is.Code","TFA","TFA.Code","Territorial.Authority","TLA.code","RTO","RTO.code","Region","Region.code","DTS.Frequency..I.","DTS.Frequency..II.","ivs_iti5","RTO_mbiemaps"
110200,"Hikurangi ( Whangarei )","ivs_iti4_110200","Hikurangi","Hikurangi ( Whangarei )",20,"2627363","6621775","1716617","6059952","North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,30,9,"ivs_iti5_110200","Northland RTO"
110210,"Tutukaka","ivs_iti4_110210","Tutukaka","Tutukaka",21,"2648553","6619625","1737805","6057856","North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,111,106,"ivs_iti5_110210","Northland RTO"
110340,"Whangarei","ivs_iti4_110340","Whangarei","Whangarei",34,"2630145","6607542","1719434","6045730","North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,3195,1593,"ivs_iti5_110340","Northland RTO"
110360,"Titoki","ivs_iti4_110360","Titoki","Titoki",36,"2606453","6606868","1695752","6044998","North",1,"Whangarei",11,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,1,0,"ivs_iti5_110360","Northland RTO"
120010,"One Tree Point","ivs_iti4_120010","One Tree Point","One Tree Point",1,"2642094","6596900","1731405","6035121","North",1,"Waipu",12,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,3,3,"ivs_iti5_120010","Northland RTO"
120060,"Ruakaka","ivs_iti4_120060","Ruakaka","Ruakaka",6,"2641897","6587073","1731232","6025297","North",1,"Waipu",12,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,164,114,"ivs_iti5_120060","Northland RTO"
120080,"Waipu","ivs_iti4_120080","Waipu","Waipu",8,"2640917","6578499","1730273","6016723","North",1,"Waipu",12,"Whangarei District",2,"Northland RTO",1,"Northland Region",1,112,82,"ivs_iti5_120080","Northland RTO"
130050,"Kaihu","ivs_iti4_130050","Kaihu","Kaihu",5,"2573940","6603227","1663264","6041278","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,4,4,"ivs_iti5_130050","Northland RTO"
130130,"Dargaville","ivs_iti4_130130","Dargaville","Dargaville",13,"2589082","6584656","1678443","6022753","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,593,330,"ivs_iti5_130130","Northland RTO"
130140,"Baylys Beach","ivs_iti4_130140","Baylys Beach","Baylys Beach",14,"2576998","6583700","1666576","6021873","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,6,6,"ivs_iti5_130140","Northland RTO"
130250,"Maungaturoto","ivs_iti4_130250","Maungaturoto","Maungaturoto",25,"2632175","6564730","1721566","6002938","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,79,30,"ivs_iti5_130250","Northland RTO"
130260,"Mangawhai","ivs_iti4_130260","Mangawhai","Mangawhai",26,"2651430","6562738","1740821","6000991","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,14,12,"ivs_iti5_130260","Northland RTO"
130270,"Matakohe","ivs_iti4_130270","Matakohe","Matakohe",27,"2616113","6562723","1705515","6000894","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,15,11,"ivs_iti5_130270","Northland RTO"
130280,"Ruawai","ivs_iti4_130280","Ruawai","Ruawai",28,"2602524","6562271","1691932","6000410","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,62,21,"ivs_iti5_130280","Northland RTO"
130310,"Kaiwaka","ivs_iti4_130310","Kaiwaka","Kaiwaka",31,"2640431","6559047","1729833","5997276","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,49,28,"ivs_iti5_130310","Northland RTO"
130350,"Tinopai","ivs_iti4_130350","Tinopai","Tinopai",35,"2622839","6548777","1712270","5986968","North",1,"Dargaville",13,"Kaipara District",3,"Northland RTO",1,"Northland Region",1,13,12,"ivs_iti5_130350","Northland RTO"
140080,"Wellsford","ivs_iti4_140080","Wellsford","Wellsford",8,"2647462","6544153","1736897","5982402","North",1,"Warkworth",14,"Rodney District",4,"Auckland RTO",2,"Auckland Region",2,320,207,"ivs_iti5_140080","Auckland RTO"
